time,wind_speed,temp,humidity,pressure,rain,wind_smooth,midi_note,change_rate,chord_inversion,rhythm_density,humidity_code,pressure_diff
2026-05-28 09:20:00,3.4613048675449423,22.17747609194458,85.44538336279544,997.8569014021807,0.0026237360218492236,3.461099158258902,55,0,-4,0,9,-15
2026-05-28 09:30:00,3.4786247441657214,22.153343547906204,85.65304863407114,997.7933198828363,0.0035262874450631716,3.478423984356545,55,0,-4,0,9,-15
2026-05-28 09:40:00,3.4937936228310367,22.13044226203392,85.8515001599073,997.7341668471694,0.004184999602809975,3.4935978124987233,55,0,-4,0,9,-15
2026-05-28 09:50:00,3.5068645336501336,22.108630972957602,86.04134083628519,997.6787797681545,0.004621651339844607,3.5066736727946832,55,0,-4,0,9,-15
2026-05-28 10:00:00,3.5178905067322606,22.087768419307157,86.22317355918616,997.6264961187668,0.004858021500922038,3.5177045953536727,55,0,-4,0,9,-15
2026-05-28 10:10:00,3.526924572186664,22.067713339712462,86.39760122459155,997.5766533719819,0.004915888930797248,3.5267436102849397,55,0,-4,0,9,-15
2026-05-28 10:20:00,3.5340197601225913,22.04832447280343,86.56522672848266,997.5285890007746,0.004817032474225204,3.5338437476977296,55,0,-4,0,9,-15
2026-05-28 10:30:00,3.5392291006492878,22.02946055720993,86.7266529668408,997.48164047812,0.00458323097596088,3.5390580377012895,55,0,-5,0,9,-16
2026-05-28 10:40:00,3.542605623876003,22.010980331561864,86.88248283564735,997.4351452769935,0.004236263280759251,3.542439510404867,55,0,-5,0,9,-16
2026-05-28 10:50:00,3.544202359911982,21.99274253448913,87.03331923088356,997.3884408703695,0.00379790823337529,3.5440411959177096,55,0,-5,0,9,-16
2026-05-28 11:00:00,3.5440723388664725,21.974605904621605,87.17976504853081,997.340864731224,0.0032899446785639693,3.5439161243490642,55,0,-5,0,9,-16
2026-05-28 11:10:00,3.5422685908487224,21.956429180589197,87.32242318457041,997.2917543325319,0.0027341514610802623,3.542117325808177,55,0,-5,0,9,-16
2026-05-28 11:20:00,3.538844145967979,21.938071101021787,87.4618965349837,997.2404471472682,0.0021523074256791425,3.5386978304042955,55,0,-5,0,9,-16
2026-05-28 11:30:00,3.5338520343334867,21.919390404549265,87.59878799575195,997.1862806484078,0.0015661914171155832,3.533710668246667,55,0,-5,0,9,-16
2026-05-28 11:40:00,3.5273452860544956,21.900245829801538,87.73370046285655,997.1285923089265,0.0009975822801445578,3.5272088694445385,55,0,-5,0,9,-16
2026-05-28 11:50:00,3.519376931240251,21.880496115408484,87.86723683227879,997.0667196017987,0.000468258859521039,3.519245464107157,55,0,-5,0,9,-16
2026-05-28 12:00:00,3.51,21.86,88.0,997.0,0.0,3.5098736543882727,55,0,-5,0,9,-16
2026-05-28 12:10:00,3.499270814110794,21.838658678072385,88.1324308556663,996.9279055877244,-0.00039001786510011024,3.499151089265396,55,0,-5,0,9,-16
2026-05-28 12:20:00,3.487258862020896,21.816543167587596,88.26432226358311,996.8504468940421,-0.0007030279482069461,3.487145929986332,55,0,-5,0,9,-16
2026-05-28 12:30:00,3.4740369238463753,21.793766942373995,88.3953050817206,996.7677690592427,-0.0009448658731846834,3.4739307846226444,55,0,-5,0,9,-16
2026-05-28 12:40:00,3.459677779703301,21.770443476259953,88.525010168049,996.680017223616,-0.001121367263897502,3.459578433290402,55,0,-5,0,9,-16
2026-05-28 12:50:00,3.4442542097077378,21.74668624307382,88.65306838053846,996.5873365274506,-0.0012383677442095785,3.444161656105672,55,0,-5,0,9,-16
2026-05-28 13:00:00,3.427838993975755,21.72260871664397,88.77911057715917,996.4898721110363,-0.0013017029379850907,3.4277532331845233,55,0,-5,0,9,-17
2026-05-28 13:10:00,3.410504912623422,21.698324370798762,88.90276761588142,996.3877691146628,-0.0013172084690882175,3.410425944643023,55,0,-5,0,9,-17
2026-05-28 13:20:00,3.392324745766806,21.67394667936656,89.02367035467533,996.2811726786192,-0.001290719961383136,3.3922525705972393,55,0,-5,0,9,-17
2026-05-28 13:30:00,3.3733712735219736,21.64958911617573,89.14144965151108,996.1702279431948,-0.0012280730387340241,3.3733058911632403,55,0,-5,0,9,-17
2026-05-28 13:40:00,3.3537172760049945,21.625365155054638,89.25573636435895,996.0550800486795,-0.0011351033250050597,3.3536586864570936,55,0,-5,0,9,-17
2026-05-28 13:50:00,3.3334355333319348,21.60138826983164,89.36616135118905,995.9358741353619,-0.0010176464440604205,3.3333837365948673,55,0,-5,0,9,-17
2026-05-28 14:00:00,3.3125988256188643,21.577771934335107,89.47235546997163,995.8127553435321,-0.0008815380197642848,3.31255382169263,55,1,-5,0,9,-17
2026-05-28 14:10:00,3.29127993298185,21.5546296223934,89.57394957867689,995.6858688134795,-0.0007326136759808306,3.2912417218664483,54,1,-5,0,9,-17
2026-05-28 14:20:00,3.26955163553696,21.53207480783489,89.670574535275,995.5553596854932,-0.0005767090365742349,3.2695202172323907,54,1,-5,0,9,-17
2026-05-28 14:30:00,3.247486713400261,21.51022096448792,89.76186119773615,995.4213730998625,-0.0004196597254086759,3.247462087906526,54,1,-5,0,9,-18
2026-05-28 14:40:00,3.2251579466878235,21.489181566180882,89.84744042403058,995.2840541968773,-0.0002673013663483322,3.2251401140049207,54,1,-5,0,9,-18
2026-05-28 14:50:00,3.202638115515714,21.469070086742118,89.92694307212847,995.1435481168267,-0.00012546958325738083,3.2026270756436443,54,1,-5,0,9,-18
2026-05-28 15:00:00,3.18,21.45,90.0,995.0,0.0,3.17999077670193,54,1,-5,0,9,-18
2026-05-28 15:10:00,3.157221171643877,21.43206348747252,90.06627773354593,994.8537159253806,0.0001045049719872852,3.1571704005702634,54,1,-5,0,9,-18
2026-05-28 15:20:00,3.133898367499044,21.41526756143616,90.12558547038923,994.705645726726,0.00018837577097856036,3.133801072413055,54,1,-5,0,9,-18
2026-05-28 15:30:00,3.1095331160043287,21.399597941857046,90.17776807608342,994.556900176488,0.00025317604767556356,3.109389296905964,54,1,-5,0,9,-18
